I Will Survive,Gloria Gaynor,DanceDanceRevolution 3rd Mix,116,How_To_Play ,,iwil,1 3 7 8 0 0 3 4 6 0
More Than This '99,Emmie,DanceDanceRevolution 3rd Mix,125,,,more,4 6 7 8 0 0 4 6 7 0
Resonance,Magic Alec Presents Resonance,DanceDanceRevolution 3rd Mix,140,? ,,magi,4 6 8 11 0 0 6 8 10 0
So Good,Boyzone,DanceDanceRevolution 3rd Mix,106,,,sogo,3 4 6 8 0 0 4 6 8 0
WALKIE TALKIE,KING KONG & D.JUNGLE GIRLS,DanceDanceRevolution 4th Mix,138,Variety ,,walk,0 4 7 10 0 0 4 7 10 0
PINK DINOSAUR,PAPAYA,DanceDanceRevolution 4th Mix,136,Variety ,,pink,0 5 6 9 0 0 5 7 9 0
MUSIC,HABEGALE,DanceDanceRevolution 4th Mix,140,Variety ,,musi,0 5 8 11 0 0 5 8 11 0
KICK THE CAN,BUS STOP,DanceDanceRevolution 4th Mix,144,Variety ? ,,kick,3 5 8 11 0 0 5 8 11 0
ONLY YOU,CAPTAIN JACK,DanceDanceRevolution 4th Mix,93,Variety ,,only,1 4 6 9 0 0 4 7 9 0
EAT YOU UP,ANGIE GOLD,DanceDanceRevolution 4th Mix,130,Variety ,,eaty,0 4 7 10 0 0 5 7 10 0
DREAM A DREAM,CAPTAIN JACK,DanceDanceRevolution 4th Mix,141,Variety ,,adre,3 5 8 10 0 0 5 8 9 0
1,2,3,4,007,NI-NI,DanceDanceRevolution 4th Mix,140,Variety ,,oose,0 2 4 8 0 0 2 4 9 0
THE 7 JUMP,KEN D,DanceDanceRevolution 4th Mix,138,Variety ,,seve,0 3 6 7 0 0 3 7 8 0
SHAKE YOUR BOOTY,KC & THE SUNSHINE BAND,DanceDanceRevolution 4th Mix,112,Variety ,,shak,0 4 6 9 0 0 4 6 8 0
NEVER GONNA MAKE (FACTORY DANCE TEAM MIX),MORGANA,DanceDanceRevolution 4th Mix,136,Variety ,,neve,4 5 8 10 0 0 5 7 8 0
Young Forever,REBECCA,DanceDanceRevolution 4th Mix,140,Variety ,,youn,0 4 7 9 0 0 4 7 10 0
GOTCHA (The Theme from STARSKY & HUTCH),ANDY G'S MAGIC DISCO MACHINE,DanceDanceRevolution 4th Mix,117,Variety ,,gotc,0 4 7 9 0 0 4 7 10 0
HAVE YOU NEVER BEEN MELLOW (MM GROOVIN MIX),THE OLIVIA PROJECT,DanceDanceRevolution 4th Mix,170,Variety ,,hhav,0 4 7 11 0 0 5 7 11 0
IN THE HEAT OF THE NIGHT,E-ROTIC,DanceDanceRevolution 4th Mix,136,Variety ,,heat,2 5 8 11 0 0 5 8 10 0
SHOOTING STAR,BANG,DanceDanceRevolution 4th Mix,170,Variety ,,shoo,0 5 7 10 0 0 5 7 10 0
ONE TWO (LITTLE BITCH),BUS STOP,DanceDanceRevolution 4th Mix,145,Variety ,,onet,0 6 8 11 0 0 6 8 10 0
NIGHT IN MOTION,CUBIC 22,DanceDanceRevolution 4th Mix,131,Variety ,,nigh,0 5 10 13 0 0 5 8 11 0
BOYS (EURO MIX),SMiLE.dk,DanceDanceRevolution 4th Mix,155,Variety ,,hboy,0 5 8 11 0 0 5 8 11 0
SAINT GOES MARCHING (REMIX),THE SAINT,DanceDanceRevolution 4th Mix,110-175,Variety ,,sain,4 5 7 13 0 0 5 7 12 0
FURUHATA'S THEME,CJ Crew feat.Sedge,DanceDanceRevolution 4th Mix,170,Variety ,,ninz,0 6 10 13 0 0 6 10 13 0
DROP OUT,NW260,DanceDanceRevolution 4th Mix,260,,,drop,4 8 10 13 14 0 6 9 13 0
CAN'T STOP FALLIN' IN LOVE,NAOKI,DanceDanceRevolution 4th Mix,155,,,stop,3 5 6 11 0 0 5 6 12 0
WILD RUSH,FACTOR-X,DanceDanceRevolution 4th Mix,80-180,,,wild,5 6 7 10 0 0 5 9 11 0
SUPER STAR,D.J.RICH feat. TAILBROS.,DanceDanceRevolution 4th Mix,128,,,sprs,3 7 8 12 0 0 5 9 11 0
HYSTERIA,NAOKI 190,DanceDanceRevolution 4th Mix,190,,,hyst,5 6 8 11 0 0 4 8 10 0
PARANOIA EVOLUTION,200,DanceDanceRevolution 4th Mix,200,,,pevo,5 9 10 12 0 0 6 10 13 0
BABY BABY GIMME YOUR LOVE,DIVAS,DanceDanceRevolution 4th Mix,96,,,baby,1 2 4 7 0 0 3 5 8 0
TRIP MACHINE CLIMAX,DE-SIRE,DanceDanceRevolution 4th Mix,180,,,clim,5 7 9 12 0 0 7 9 12 0
BURNIN' THE FLOOR,NAOKI,DanceDanceRevolution 4th Mix,155,,,burn,3 5 8 10 0 0 5 7 10 0
HIGHER,NM feat. SUNNY,DanceDanceRevolution 4th Mix,132,,,gher,3 4 7 9 0 0 4 7 10 0
ORION.78 (AMeuro-MIX),RE-VENGE,DanceDanceRevolution 4th Mix,105,,,naha,3 4 7 12 0 0 5 8 9 0
B4U,NAOKI,DanceDanceRevolution 4th Mix,155,,,bfor,3 5 7 10 0 0 5 8 10 0
LOVE AGAIN TONIGHT ～For Melissa MIX～,NAOKI feat. PAULA TERRY,DanceDanceRevolution 4th Mix,150,,,agai,4 5 8 11 0 0 5 7 10 0
HYPNΦTIC CRISIS,BLUE DESTROYERS,DanceDanceRevolution 4th Mix,135,,,hypn,4 7 8 10 0 0 7 8 10 0
MY SUMMER LOVE,MITSU-O! with GEILA,DanceDanceRevolution 4th Mix,100,,,summ,3 4 9 12 0 0 5 8 11 0
IF YOU WERE HERE (B4 ZA BEAT MIX),JENNIFER,DanceDanceRevolution 4th Mix,170,Variety ,,hify,0 5 8 12 0 0 5 8 12 0
DAM DARIRAM (KCP MIX),JOGA,DanceDanceRevolution 4th Mix,170,Variety ,,hdam,0 5 9 12 0 0 5 9 12 0
HERO (HAPPY GRANDALE MIX),PAPAYA,DanceDanceRevolution 4th Mix,170,Variety ,,hher,0 5 9 11 0 0 5 8 11 0
Let's talk it over,SHIN Murayama feat. Argie Phine,DanceDanceRevolution 4th Mix,100,,,talk,0 3 5 7 0 0 3 5 8 0
LEADING CYBER,dj TAKA,DanceDanceRevolution 4th Mix,150,,,lead,3 8 9 13 0 0 7 10 13 0
.59,dj TAKA,DanceDanceRevolution 4th Mix,135,,,teng,3 5 8 11 0 0 5 8 10 0
Holic,TaQ,DanceDanceRevolution 4th Mix,155,,,olic,4 7 9 11 0 0 7 8 11 0
era (nostalmix),TaQ,DanceDanceRevolution 4th Mix,90-180,Touhou ,,eran,4 5 8 11 0 0 5 7 11 0
never let you down,good-cool feat. JP Miles,DanceDanceRevolution 4th Mix,125,,,lety,3 4 7 9 0 0 4 7 9 0
Make Your Move,good-cool feat. JP Miles,DanceDanceRevolution 4th Mix,120,,,your,0 5 7 11 0 0 5 7 11 0
Don't Stop! ～AMD 2nd MIX～,Dr.VIBE feat. JP Miles,DanceDanceRevolution 4th Mix,130,Tokimeki_Idol ,,onts,3 5 6 10 0 0 4 5 8 0
